mutants,rpoA,Phage_circular,conditions,PRCI_circular,Replicate
E10_CSP,1431477.1,711609.9,2hour,1149444.5,2nd
E1_CSP,1225007.2,620125.7,2hour,934633.44,2nd
E1_CSP,1399461.8,766555.1,2hour,954934.3,2nd
E1_CSP,1409661.5,708306.1,2hour,1199794.9,2nd
NO_CSP,49978.45,185066.83,4hour,1697455,2nd
NO_CSP,55069.86,204227.06,4hour,1433491.6,2nd
NO_CSP,59694.07,182268.7,4hour,1894837.9,2nd
CSP,44256.57,1363683.8,4hour,2018514.9,2nd
CSP,56196.07,1624986.4,4hour,1902099.6,2nd
CSP,53193.56,1303824.5,4hour,2218302.5,2nd
CSP_DnaseI,1740.43,86830.15,4hour,98645.89,2nd
CSP_DnaseI,2178.62,105918.82,4hour,97873.43,2nd
CSP_DnaseI,2209.24,93220.83,4hour,99979.67,2nd
E99,54219.31,412472.72,4hour,1237646.2,2nd
E99,54839.63,452264.53,4hour,1479878.8,2nd
E99,61209.63,428071.4,4hour,1259569.6,2nd
E90,141813.67,286285.6,4hour,1335678.2,2nd
E90,176149.62,305227.22,4hour,1438698,2nd
E90,170436.11,302247.25,4hour,1483000.5,2nd
E50,528368.7,196053.62,4hour,1241520.8,2nd
E50,595929.5,209615.36,4hour,1342240.2,2nd
E50,624438.9,243400.28,4hour,1813018.6,2nd
E10,952138.06,206831.12,4hour,1183322.6,2nd
E10,1024621.2,244248.75,4hour,1834019.5,2nd
E10,964118.6,311332.56,4hour,1691684,2nd
E1,989762.56,220764.55,4hour,1173289.2,2nd
E1,1239764.8,237339.67,4hour,1206507.6,2nd
E1,1359187.4,221382.19,4hour,1456983.8,2nd
E99_CSP,72415.52,764489.8,4hour,1658544.5,2nd
E99_CSP,86765.27,750003.56,4hour,2009437,2nd
E99_CSP,77766.79,811710.7,4hour,2274365.8,2nd
E90_CSP,137505.3,687448,4hour,2174029.8,2nd
E90_CSP,170848.8,1016629.3,4hour,2193605.2,2nd
E90_CSP,169162.06,1009800.06,4hour,2745039.8,2nd
E50_CSP,358880,849988.4,4hour,2025534.2,2nd
E50_CSP,522060.38,1124658.4,4hour,3165380.8,2nd
E50_CSP,496606.38,1147381.4,4hour,2171646.8,2nd
E10_CSP,1037344.8,672252.56,4hour,1760573.6,2nd
E10_CSP,1086295.9,582713,4hour,2093589.8,2nd
E10_CSP,975392.94,711609.9,4hour,2507802,2nd
E1_CSP,1037200.5,620125.7,4hour,1764086.1,2nd
E1_CSP,1283431.5,766555.1,4hour,1085720.6,2nd
E1_CSP,1227781.6,708306.1,4hour,1056384.4,2nd
