mutants,rpoA,Phage_circular,conditions,PRCI_circular,Replicate
E99,73636.46,466018.53,4hour,2880552.20,4th
E99,76672.88,531292.00,4hour,2862485.00,4th
E99,67985.46,368895.70,4hour,3418408.00,4th
E1,175915.27,90798.97,4hour,2023072.50,4th
E1,230472.06,74917.20,4hour,1895693.60,4th
E1,223432.52,86715.91,4hour,1825490.20,4th
