conditions,replicates,Time,phage_reg,PRCI_int,gyrA
No DNA control,2nd,4 hr,"571,067.56","1,158,730.10","43,994.530"
No DNA control,2nd,4 hr,"622,954.94","1,190,971.20","43,105.940"
CSP + 1% pneumococcal,2nd,4 hr,"1,016,160.30","2,547,540.80","53,613.344"
CSP + 1% pneumococcal,2nd,4 hr,"1,540,319.60","2,675,655.80","39,822.863"
CSP + 1% pneumococcal,2nd,4 hr,"1,497,361.00","2,919,188.00","36,517.156"
CSP + 99% pneumococcal,2nd,4 hr,"3,238,840.00","1,618,763.10","47,345.340"
CSP + 99% pneumococcal,2nd,4 hr,"2,708,293.20","2,308,114.80","64,032.703"
CSP + 99% pneumococcal,2nd,4 hr,"2,278,342.20","2,477,942.50","75,312.160"
No CSP or DNA control,3rd,2 hr,"12,861.76","626,122.94","27,700.521"
No CSP or DNA control,3rd,2 hr,"49,796.84","733,219.06","31,415.787"
No CSP or DNA control,3rd,2 hr,"74,606.54","599,369.40","16,506.770"
No DNA control,3rd,2 hr,"338,727.70","346,475.94","12,088.035"
No DNA control,3rd,2 hr,"754,725.80","433,628.66","12,089.270"
No DNA control,3rd,2 hr,"733,609.20","469,272.53","22,022.592"
CSP + 1% pneumococcal,3rd,2 hr,"627,460.70","1,105,232.00","13,441.777"
CSP + 1% pneumococcal,3rd,2 hr,"603,284.50","1,510,603.50","11,829.341"
CSP + 1% pneumococcal,3rd,2 hr,,"1,402,940.80","9,768.728"
CSP + 99% pneumococcal,3rd,2 hr,"1,227,867.50","919,303.56","69,059.850"
CSP + 99% pneumococcal,3rd,2 hr,"1,515,978.40","1,227,510.60","88,580.086"
CSP + 99% pneumococcal,3rd,2 hr,"1,779,003.60","1,051,251.20","60,659.055"
No CSP or DNA control,3rd,4 hr,"120,353.13","822,077.50","14,133.948"
No CSP or DNA control,3rd,4 hr,"32,106.99","800,485.44","16,295.261"
No CSP or DNA control,3rd,4 hr,"100,430.18","811,211.70","32,033.630"
No DNA control,3rd,4 hr,"1,022,817.44","1,099,631.90","59,029.652"
No DNA control,3rd,4 hr,"2,314,422.80","1,413,066.20","64,295.320"
No DNA control,3rd,4 hr,"2,021,854.00","1,200,805.50","47,960.848"
CSP + 1% pneumococcal,3rd,4 hr,"856,561.20","2,554,753.50","32,130.023"
CSP + 1% pneumococcal,3rd,4 hr,"1,349,020.40","2,973,534.50","34,219.940"
CSP + 1% pneumococcal,3rd,4 hr,"1,528,444.00","3,558,824.50","43,976.406"
CSP + 99% pneumococcal,3rd,4 hr,"2,163,283.20","1,524,066.60","72,762.460"
CSP + 99% pneumococcal,3rd,4 hr,"2,570,137.80","1,364,636.00","72,742.130"
CSP + 99% pneumococcal,3rd,4 hr,"2,367,974.20","1,768,388.50","31,886.307"
