mutants,rpoA,Phage_circular,conditions,PRCI_circular,Replicate
E1,989762.56,220764.55,4hour,1173289.20,2nd
E1,1239764.80,237339.67,4hour,1206507.60,2nd
E1,1359187.40,221382.19,4hour,1456983.80,2nd
E99_CSP,72415.52,764489.80,4hour,1658544.50,2nd
E99_CSP,86765.27,750003.56,4hour,2009437.00,2nd
E99_CSP,77766.79,811710.70,4hour,2274365.80,2nd
E90_CSP,137505.30,687448.00,4hour,2174029.80,2nd
E90_CSP,170848.80,1016629.30,4hour,2193605.20,2nd
E90_CSP,169162.06,1009800.06,4hour,2745039.80,2nd
E50_CSP,358880.00,849988.40,4hour,2025534.20,2nd
E50_CSP,522060.38,1124658.40,4hour,3165380.80,2nd
E50_CSP,496606.38,1147381.40,4hour,2171646.80,2nd
E10_CSP,1037344.80,672252.56,4hour,1760573.60,2nd
E10_CSP,1086295.90,582713.00,4hour,2093589.80,2nd
E10_CSP,975392.94,711609.90,4hour,2507802.00,2nd
E1_CSP,1037200.50,620125.70,4hour,1764086.10,2nd
E1_CSP,1283431.50,766555.10,4hour,1085720.60,2nd
E1_CSP,1227781.60,708306.10,4hour,1056384.40,2nd
NO_CSP,,40764.96,2hour,1224622.80,3rd
NO_CSP,,50148.52,2hour,1387787.20,3rd
NO_CSP,,66389.93,2hour,1642732.00,3rd
CSP,,3734452.80,2hour,1241928.40,3rd
CSP,,3351283.00,2hour,1168341.20,3rd
CSP,,3534936.80,2hour,1314570.10,3rd
CSP_DnaseI,,92453.06,2hour,55044.68,3rd
CSP_DnaseI,,97531.06,2hour,70390.97,3rd
CSP_DnaseI,,91988.13,2hour,68187.23,3rd
E99,,33124.05,2hour,1100703.10,3rd
E99,,41044.77,2hour,1226409.90,3rd
E99,,34097.94,2hour,1207831.20,3rd
E90,,54319.24,2hour,1129869.80,3rd
E90,,61114.46,2hour,1374665.20,3rd
E90,,62685.53,2hour,1424322.20,3rd
E50,,48102.91,2hour,963077.50,3rd
E50,,59346.98,2hour,1403123.90,3rd
E50,,57053.32,2hour,1368226.10,3rd
E10,,50367.41,2hour,1447433.60,3rd
E10,,56826.87,2hour,1454949.50,3rd
E10,,61560.77,2hour,1508148.20,3rd
E1,,50137.48,2hour,1397370.10,3rd
E1,,48299.14,2hour,1267516.40,3rd
E1,,53107.32,2hour,1312839.80,3rd
E99_CSP,,6260263.00,2hour,4708842.00,3rd
E99_CSP,,5867439.50,2hour,4922326.50,3rd
E99_CSP,,7133708.00,2hour,4877529.50,3rd
E90_CSP,,8220300.50,2hour,5408703.50,3rd
E90_CSP,,8650443.00,2hour,6150505.00,3rd
E90_CSP,,10080605.00,2hour,6292495.50,3rd
E50_CSP,,12186562.00,2hour,5211724.00,3rd
E50_CSP,,16372421.00,2hour,6707956.00,3rd
E50_CSP,,12691450.00,2hour,5873088.00,3rd
E10_CSP,,17351632.00,2hour,4331345.50,3rd
E10_CSP,,13344923.00,2hour,4373590.00,3rd
E10_CSP,,15764381.00,2hour,5108367.50,3rd
E1_CSP,,14486198.00,2hour,3176813.50,3rd
E1_CSP,,12858181.00,2hour,3067625.80,3rd
E1_CSP,,14056676.00,2hour,3843726.00,3rd
NO_CSP,,135041.95,4hour,1997121.50,3rd
NO_CSP,,138607.84,4hour,2489157.20,3rd
NO_CSP,,149003.40,4hour,2393311.50,3rd
CSP,,22331982.00,4hour,3009376.20,3rd
CSP,,19453712.00,4hour,3265124.80,3rd
CSP,,18213144.00,4hour,3201102.00,3rd
CSP_DnaseI,,490237.66,4hour,101193.76,3rd
CSP_DnaseI,,482590.38,4hour,86491.06,3rd
CSP_DnaseI,,419425.10,4hour,106506.92,3rd
E99,,126759.53,4hour,1979271.60,3rd
E99,,160824.78,4hour,2186996.50,3rd
E99,,138971.92,4hour,1906762.60,3rd
E90,,110494.49,4hour,1839192.10,3rd
E90,,109315.56,4hour,2060335.50,3rd
E90,,112761.06,4hour,2021092.20,3rd
E50,,94577.96,4hour,1756358.20,3rd
E50,,111322.57,4hour,1992080.10,3rd
E50,,99774.85,4hour,1795331.50,3rd
E10,,111535.06,4hour,1356547.40,3rd
E10,,93652.45,4hour,1484869.40,3rd
E10,,81810.18,4hour,1519015.20,3rd
E1,,68310.28,4hour,1380330.20,3rd
E1,,56691.72,4hour,1328542.80,3rd
E1,,74110.76,4hour,1315625.00,3rd
E99_CSP,,7490076.50,4hour,5361633.50,3rd
E99_CSP,,9997682.00,4hour,6989928.00,3rd
E99_CSP,,9468793.00,4hour,7859764.50,3rd
E90_CSP,,11185973.00,4hour,5690886.50,3rd
E90_CSP,,6836700.00,4hour,6483442.00,3rd
E90_CSP,,10347061.00,4hour,6126611.00,3rd
E50_CSP,,13278150.00,4hour,7284260.00,3rd
E50_CSP,,11014889.00,4hour,8280164.50,3rd
E50_CSP,,13778704.00,4hour,7154536.00,3rd
E10_CSP,,8891878.00,4hour,7099027.50,3rd
E10_CSP,,11179354.00,4hour,5783420.00,3rd
E10_CSP,,18138536.00,4hour,6991888.50,3rd
E1_CSP,,24216826.00,4hour,4295912.00,3rd
E1_CSP,,20289968.00,4hour,4734661.00,3rd
E1_CSP,,33765008.00,4hour,5273597.00,3rd
